District,Village
Anugul  ,Gadapasi
Anugul  ,Gadasantri
Anugul  ,Gadasila
Anugul  ,Gadatalamul
Anugul  ,Gadatarasa
Anugul  ,Gadeimunda
Anugul  ,Gadeimunda
Anugul  ,Gaham
Anugul  ,Gaindi
Anugul  ,Gambharimaliha
Anugul  ,Gandaberena
Anugul  ,Gandamula(Gandamal)
Anugul  ,Gandaramunda
Anugul  ,Ganeshganja
Anugul  ,Ganeswarpur
Anugul  ,Gangadharpur
Anugul  ,Gangadharpur
Anugul  ,Gangapani
Anugul  ,Gangijodi
Anugul  ,Ganjada
Anugul  ,Ganjeimuni
Anugul  ,Ganthigadia
Anugul  ,Garadmunda
Anugul  ,Garagadabahal
Anugul  ,Garud
Anugul  ,Gatikrishnapur
Anugul  ,Gaudasahi
Anugul  ,Gaunighasa
Anugul  ,Gaurchandrapur
Anugul  ,Gautampur
Anugul  ,Gedhilimunda
Anugul  ,Gedhilimundajungle
Anugul  ,Gengutia
Anugul  ,Gengutia
Anugul  ,Ghanajori
Anugul  ,Ghanamundia
Anugul  ,Ghanapur
Anugul  ,Ghantapada (CT)
Anugul  ,Ghantianali
Anugul  ,Ghasiapasi
Anugul  ,Ghodabandhuni
Anugul  ,Ghodadinjungle
Anugul  ,Ghodagadi
Anugul  ,Ghosar
Anugul  ,Ghosarakhol
Anugul  ,Ghunchapal
Anugul  ,Ghuntulipasi
Anugul  ,Ghurunda
Anugul  ,Giranga(Part)
Anugul  ,Girdhabasa
Anugul  ,Girida
Anugul  ,Gobara
Anugul  ,Gobardhanpur
Anugul  ,Gobindpur (Sana)
Anugul  ,Gobindpur(bada)
Anugul  ,Godapada
Anugul  ,Godaramunda
Anugul  ,Godarasahi
Anugul  ,Godibandha
Anugul  ,Godigotha
Anugul  ,Gogramapur
Anugul  ,Gohirapasi
Anugul  ,Gohirapasi
Anugul  ,Gojapathar
Anugul  ,Golabandha
Anugul  ,Golagadia
Anugul  ,Golagadia
Anugul  ,Golagadiajungle
Anugul  ,Golasar
Anugul  ,Gopabalhabpur
Anugul  ,Gopal Prasad Khamar
Anugul  ,Gopalprasad
Anugul  ,Gopalpur
Anugul  ,Gopalpur
Anugul  ,Gopalpur
Anugul  ,Gopalpur Jungle
Anugul  ,Gopapur
Anugul  ,Gopapur
Anugul  ,Gopigangadharpur
Anugul  ,Gopinathapur
Anugul  ,Gopinathapur
Anugul  ,Gopinathapur
Anugul  ,Gopinathpur
Anugul  ,Gopinathpur
Anugul  ,Gopinathpur jungle
Anugul  ,Gopinathpur(Part)
Anugul  ,Goratopa
Anugul  ,Gotamara (CT)  
Anugul  ,Gourangpur
Anugul  ,Govindapanasahi
Anugul  ,Gualiar(Guariarjungle)
Anugul  ,Guapada
Anugul  ,Gudiabhuin
Anugul  ,Gudugudi
Anugul  ,Guiland
Anugul  ,Gunduri
Anugul  ,Gunduri 
Anugul  ,Gunduridadar
Anugul  ,Gundurijharan
Anugul  ,Gundurikhola
Anugul  ,Gundurimunda
Anugul  ,Gundurinali
Anugul  ,Gunhapal
Anugul  ,Gunthapada
Anugul  ,Gunthubahal
Anugul  ,Guranga
Anugul  ,Gurudhi
Anugul  ,Gurujang
Anugul  ,Gurujanga
Anugul  ,Gurujanguli (Bad)
Anugul  ,Gurujanguli (San)
Anugul  ,Gurundiamunda
Anugul  ,Gurusulai
Anugul  ,Hamamira
Anugul  ,Hanadiha
Anugul  ,Handapa
Anugul  ,Handapa
Anugul  ,Handigoda
Anugul  ,Hansala
Anugul  ,Hansamunda
Anugul  ,Hanumanpur
Anugul  ,Haribereni
Anugul  ,Haribereni
Anugul  ,Harichandabasti
Anugul  ,Harichandajami
Anugul  ,Harichandanpur
Anugul  ,Haridakotha
Anugul  ,Haridanali
Anugul  ,Hariharapur
Anugul  ,Hariharpur
Anugul  ,Hariharpur
Anugul  ,Hariharpur Rayati
Anugul  ,Haripradhanpur
Anugul  ,Haripur
Anugul  ,Haripur
Anugul  ,Haripur
Anugul  ,Harirajapur
Anugul  ,Hatanali
Anugul  ,Hatasimili
Anugul  ,Hatianali
Anugul  ,Hatibari
Anugul  ,Hatibindha
Anugul  ,Hatigenja
Anugul  ,Hatighincha
Anugul  ,Hatimunda
Anugul  ,Hatuapada
Anugul  ,Haturipal
Anugul  ,Helei
Anugul  ,Hemamura
Anugul  ,Hensamul
Anugul  ,Hidising
Anugul  ,Hiloi
Anugul  ,Himitira
Anugul  ,Hingamandal
Anugul  ,Hinjadoli
Anugul  ,Hinjagola
Anugul  ,Hinjagola
Anugul  ,Hinjirida
Anugul  ,Hinsaloi
Anugul  ,Hinsaloi
Anugul  ,Hinsei
Anugul  ,Hinsrida
Anugul  ,Ichhapur
Anugul  ,Illisuan
Anugul  ,Industrial  
Anugul  ,Injidi
Anugul  ,Inkarabandha
Anugul  ,Iswarnagar
Anugul  ,Itamatia
Anugul  ,ITI
Anugul  ,Jabalpur
Anugul  ,Jadunathpur
Anugul  ,Jadunathpur
Anugul  ,Jadupur
Anugul  ,Jadupur 
Anugul  ,Jadupurjungle
Anugul  ,Jagabandhupur
Anugul  ,Jagadalapur
Anugul  ,Jagamohanpur
Anugul  ,Jaganathapur
Anugul  ,Jaganathpur
Anugul  ,Jaganathpur(F.Beat)
Anugul  ,Jaganathpur(part)
Anugul  ,Jagannathpur
Anugul  ,Jagatapur
Anugul  ,Jairat
Anugul  ,Jallaha
Anugul  ,Jaltap
Anugul  ,Jamania
Anugul  ,Jamara
Anugul  ,Jamardiha (Panchunaika)
Anugul  ,Jamardiha(PABUDI)
Anugul  ,Jambua
Anugul  ,Jambua
Anugul  ,Jamubahali
Anugul  ,Jamubania
Anugul  ,Jamudihi(jambudihi)
Anugul  ,Jamudoli
Anugul  ,Jamugadia
Anugul  ,Jamujhari
Anugul  ,Jamujodi
Anugul  ,Jamumunda
Anugul  ,Jamunali
Anugul  ,Jamunali
Anugul  ,Jamunali
Anugul  ,Jamunda
Anugul  ,Jamunda
Anugul  ,Jamundajungle
Anugul  ,Janakapur
Anugul  ,Jandabahal
Anugul  ,Jangada
Anugul  ,Janhimunda
Anugul  ,Jarada
Anugul  ,Jarada
Anugul  ,Jarapada
Anugul  ,Jarapada
Anugul  ,Jarapada 
Anugul  ,Jarapadajungle
Anugul  ,Jarapadapanasahi
Anugul  ,Jararpur
Anugul  ,Jarasingha
Anugul  ,Jaripal
Anugul  ,Jaunlibandha
Anugul  ,Javaphal
Anugul  ,Jayamal
Anugul  ,jayapur
Anugul  ,Jayapur
Anugul  ,Jayapur
Anugul  ,Jenapada
Anugul  ,Jerang
Anugul  ,Jerengdehurisahi
Anugul  ,Jhadabandha
Anugul  ,Jhadagram
Anugul  ,Jhajiribahal
Anugul  ,Jhamakarei
Anugul  ,Jhampuli
Anugul  ,Jhankarpasi
Anugul  ,Jharabahal
Anugul  ,Jharabainda
Anugul  ,Jharabandhuli chintamani
Anugul  ,Jharabeda
Anugul  ,Jharabeda
Anugul  ,Jharabereni
Anugul  ,Jharabereni
Anugul  ,Jharadihi
Anugul  ,Jharalo
Anugul  ,Jharan
Anugul  ,Jharanali
Anugul  ,Jharapada
Anugul  ,Jharbandhuli Budhia
Anugul  ,Jhariakhaman
Anugul  ,Jhariamba
Anugul  ,Jharkilinda
Anugul  ,Jhatimunda
Anugul  ,Jhhulakhuntia
Anugul  ,Jhilimunda
Anugul  ,Jhimiripali
Anugul  ,Jhinkibahal
Anugul  ,Jhintipal
Anugul  ,Jhintipaljungle
Anugul  ,Jhudungamal
Anugul  ,Jhurikata
Anugul  ,Jiantanali
Anugul  ,Jilinda
Anugul  ,Jirad
Anugul  ,Jitadimiria
Anugul  ,Jogibandha
Anugul  ,Jogimunda
Anugul  ,Jogipathar
Anugul  ,Jokapani
Anugul  ,Jokub
Anugul  ,jolanda
Anugul  ,Jorada (Bada) (CT)  
Anugul  ,Jorada(Sana)
Anugul  ,Joradanga
Anugul  ,Joragadia
Anugul  ,Joragadia
Anugul  ,Juharpur
Anugul  ,Jukub(Jokub)
Anugul  ,Julubandha
Anugul  ,Kabulipal
Anugul  ,Kadadiha
Anugul  ,Kadalibari
Anugul  ,Kadalibereni
Anugul  ,Kadalimunda
Anugul  ,Kadalimunda
Anugul  ,Kadaminipur
Anugul  ,Kadapada
Anugul  ,Kaharmunda
Anugul  ,Kainchhabahala
Anugul  ,Kainchhapada
Anugul  ,Kainsiripali
Anugul  ,Kaira
Anugul  ,Kairighati
Anugul  ,Kakudi
Anugul  ,Kakudia
Anugul  ,Kalabeda
Anugul  ,Kaladhuni
Anugul  ,Kalam chhuin
Anugul  ,Kalamati
Anugul  ,Kalanda
Anugul  ,Kalandapal
Anugul  ,Kalandiprasad
Anugul  ,Kalapatanali
Anugul  ,Kaleipada
Anugul  ,Kaliadama
Anugul  ,Kaliakata
Anugul  ,Kaliakatajungle
Anugul  ,Kaliakudar
Anugul  ,Kalijikata
Anugul  ,Kalyanpur
Anugul  ,kamalapur
Anugul  ,Kamalbaspur
Anugul  ,Kamarei
Anugul  ,Kamarei
Anugul  ,Kampala
Anugul  ,Kamparkala
Anugul  ,Kampasala 
Anugul  ,Kampasalajungle
Anugul  ,Kampul
Anugul  ,Kanaloi
Anugul  ,Kandakhaman
Anugul  ,Kandarapali
Anugul  ,Kandasar (Part) (CT)
Anugul  ,Kandasara
Anugul  ,Kandhabereni
Anugul  ,Kandhakoili
Anugul  ,kandhakorada
Anugul  ,Kandhal
Anugul  ,Kandhal
Anugul  ,Kandhapada
Anugul  ,Kandhapali
Anugul  ,Kandharamunda
Anugul  ,Kangula
Anugul  ,Kanhei Nagar
Anugul  ,Kanheibereni
Anugul  ,Kanhupur
Anugul  ,Kaniha
Anugul  ,Kaniha 
Anugul  ,Kanja
Anugul  ,Kanjara
Anugul  ,Kanjia
Anugul  ,Kankarapal
Anugul  ,Kankarei
Anugul  ,Kankili
Anugul  ,Kankinali
Anugul  ,Kansab
Anugul  ,Kansamunda
Anugul  ,Kansanali
Anugul  ,Kansar
Anugul  ,Kansar
Anugul  ,Kansaragadi (Part)
Anugul  ,Kansarikud
Anugul  ,Kantabeda
Anugul  ,Kantala
Anugul  ,Kantamegha
Anugul  ,Kantanali
Anugul  ,kantapada
Anugul  ,Kantapali
Anugul  ,Kanteikolia
Anugul  ,Kanteikolia
Anugul  ,Kantiapasi
Anugul  ,Kantol
Anugul  ,Kanyabeda(Part)
Anugul  ,Karabira
Anugul  ,Karada Bahali (Khaira)
Anugul  ,Karada Khaman
Anugul  ,Karadabahal
Anugul  ,Karadabahali (Madhu)
Anugul  ,Karadabahalidehuri
Anugul  ,Karadaberenijungle
Anugul  ,Karadaberini
Anugul  ,Karadadadar
Anugul  ,Karadadadar
Anugul  ,Karadagadia
Anugul  ,Karadakhaman
Anugul  ,Karadapada
Anugul  ,Karadapal
Anugul  ,Karadapal
Anugul  ,Karadapalli(part)
Anugul  ,Karadasinga
Anugul  ,Karadasinga
Anugul  ,Karadatikar
Anugul  ,Karadei
Anugul  ,Karadingabahal
Anugul  ,Karamangasahi
Anugul  ,Karamulakata
Anugul  ,Karatpata
Anugul  ,Karnapal
Anugul  ,Karnapal
Anugul  ,Karnapur
Anugul  ,Karnapur
Anugul  ,Kashia
Anugul  ,Kashinathpur
Anugul  ,Kasidiha
Anugul  ,Kasinathapur
Anugul  ,Kasipur
